Open,Close,High,Low,Volume,Date
3.6325,3.64,3.7275,3.61,8,484.00,05/06/10
3.65,3.6475,3.6475,3.545,13,105.00,05/05/10
3.6,3.6,3.6275,3.535,14,690.00,05/04/10
3.675,3.6275,3.69,3.605,15,828.00,05/03/10
3.6175,3.6625,3.6675,3.6025,21,378.00,04/30/10
3.615,3.605,3.7,3.5675,55,731.00,04/29/10
3.54,3.57,3.6175,3.4825,55,377.00,04/28/10
3.495,3.475,3.535,3.45,56,435.00,04/27/10
3.52,3.5225,3.595,3.52,66,385.00,04/26/10
3.53,3.53,3.625,3.52,82,410.00,04/23/10
3.615,3.6225,3.63,3.56,61,484.00,04/22/10
3.58,3.5925,3.6325,3.5525,89,981.00,04/21/10
3.55,3.555,3.565,3.4925,79,803.00,04/20/10
3.475,3.4775,3.63,3.4775,92,225.00,04/19/10
3.63,3.64,3.65,3.585,92,244.00,04/16/10
3.62,3.6325,3.6375,3.56,97,369.00,04/15/10
3.58,3.58,3.6375,3.515,194,730.00,04/14/10
3.5,3.525,3.535,3.4525,156,584.00,04/13/10
3.48,3.4825,3.5125,3.455,114,873.00,04/12/10
3.45,3.4575,3.52,3.44,91,072.00,04/09/10
3.4825,3.4825,3.5575,3.4625,120,631.00,04/08/10
3.54,3.565,3.59,3.4375,166,749.00,04/07/10
3.4625,3.465,3.4975,3.4425,68,043.00,04/06/10
3.45,3.44,3.4725,3.4375,59,137.00,04/05/10
3.44,3.445,3.49,3.435,70,849.00,04/01/10
3.4575,3.45,3.545,3.4425,104,794.00,03/31/10
3.53,3.545,3.59,3.5175,111,579.00,03/30/10
3.57,3.57,3.6,3.5475,68,575.00,03/29/10
3.565,3.5625,3.58,3.55,51,672.00,03/26/10
3.55,3.55,3.665,3.54,91,542.00,03/25/10
3.6475,3.65,3.665,3.59,69,380.00,03/24/10
3.6275,3.6275,3.7225,3.625,95,674.00,03/23/10
3.7,3.7075,3.7625,3.705,64,327.00,03/22/10
3.745,3.745,3.7625,3.715,48,432.00,03/19/10
3.75,3.76,3.765,3.69,73,430.00,03/18/10
3.73,3.74,3.745,3.65,75,130.00,03/17/10
3.67,3.6675,3.69,3.63,64,925.00,03/16/10
3.63,3.6325,3.6625,3.62,64,328.00,03/15/10
3.57,3.6425,3.5725,3.5325,1,023.00,03/12/10
3.54,3.555,3.5775,3.52,3,863.00,03/11/10
3.525,3.555,3.605,3.525,6,614.00,03/10/10
3.615,3.5875,3.645,3.58,10,541.00,03/09/10
3.67,3.645,3.6775,3.6225,10,810.00,03/08/10
3.765,3.6475,3.77,3.6425,15,301.00,03/05/10
3.7,3.72,3.75,3.6925,19,057.00,03/04/10
3.7275,3.7575,3.7775,3.6675,21,647.00,03/03/10
3.715,3.705,3.735,3.6525,25,011.00,03/02/10
3.785,3.7075,3.81,3.6925,25,017.00,03/01/10
3.77,3.78,3.8,3.72,37,583.00,02/26/10
3.7225,3.7225,3.75,3.6925,55,110.00,02/25/10
3.74,3.7525,3.76,3.675,51,137.00,02/24/10
3.6725,3.6775,3.73,3.6725,82,311.00,02/23/10
3.7,3.715,3.7675,3.6,165,374.00,02/22/10
3.6,3.6,3.605,3.5325,77,167.00,02/19/10
3.5725,3.5725,3.615,3.555,78,074.00,02/18/10
3.6,3.6,3.68,3.595,74,202.00,02/17/10
3.67,3.6725,3.6875,3.62,108,554.00,02/16/10
3.61,3.615,3.6425,3.575,82,493.00,02/12/10
3.63,3.6325,3.65,3.595,106,223.00,02/11/10
3.625,3.6175,3.655,3.5525,142,777.00,02/10/10
3.59,3.585,3.635,3.5475,170,408.00,02/09/10
3.55,3.56,3.62,3.535,119,962.00,02/08/10
3.4725,3.515,3.555,3.475,144,086.00,02/05/10
3.54,3.54,3.59,3.49,135,919.00,02/04/10
3.53,3.53,3.6825,3.5275,152,008.00,02/03/10
3.65,3.65,3.6725,3.5875,127,238.00,02/02/10
3.585,3.59,3.6075,3.555,89,872.00,02/01/10
3.56,3.565,3.635,3.5525,108,193.00,01/29/10
3.615,3.6175,3.63,3.5775,83,266.00,01/28/10
3.595,3.5825,3.635,3.5825,72,946.00,01/27/10
3.625,3.6225,3.69,3.6025,92,211.00,01/26/10
3.6725,3.6775,3.6925,3.6525,71,638.00,01/25/10
3.6475,3.6475,3.7275,3.635,101,019.00,01/22/10
3.715,3.72,3.72,3.64,105,509.00,01/21/10
3.65,3.68,3.705,3.6225,97,523.00,01/20/10
3.6925,3.6925,3.7525,3.6775,109,475.00,01/19/10
3.79,3.715,3.7975,3.695,133,454.00,01/15/10
3.8225,3.81,3.8275,3.765,121,737.00,01/14/10
3.845,3.84,3.8525,3.68,266,262.00,01/13/10
4.19,3.925,4.19,3.925,84,012.00,01/12/10
4.2175,4.225,4.25,4.18,113,888.00,01/11/10
4.175,4.23,4.2375,4.15,112,174.00,01/08/10
4.21,4.175,4.24,4.145,125,046.00,01/07/10
4.18,4.2175,4.22,4.16,80,388.00,01/06/10
4.1725,4.1875,4.2,4.1525,65,428.00,01/05/10
4.1575,4.185,4.2625,4.1325,126,410.00,01/04/10
4.13,4.145,4.1825,4.12,45,632.00,12/31/09
4.16,4.1375,4.1675,4.005,67,368.00,12/30/09
4.15,4.17,4.18,4.1325,58,176.00,12/29/09
4.09,4.16,4.1875,4.08,66,786.00,12/28/09
4.0325,4.085,4.09,4.03,20,872.00,12/24/09
3.98,4.0475,4.0525,3.9725,38,418.00,12/23/09
3.9925,3.9875,4.02,3.935,53,202.00,12/22/09
3.9775,4,4.0675,3.9575,64,264.00,12/21/09
3.97,3.9775,4.0125,3.91,71,888.00,12/18/09
4.095,3.97,4.1,3.9325,95,500.00,12/17/09
4.065,4.1025,4.1375,4.0325,83,821.00,12/16/09
0,4.075,4.1,4.05,73,567.00,12/15/09
3.8725,3.92,3.9525,3.85,2,231.00,12/14/09
3.7775,3.8925,3.91,3.745,11,740.00,12/11/09
3.68,3.7725,3.8075,3.655,12,254.00,12/10/09
3.705,3.68,3.7325,3.6375,16,144.00,12/09/09
3.7,3.695,3.75,3.675,17,467.00,12/08/09
3.735,3.6875,3.78,3.6775,21,600.00,12/07/09
3.8525,3.7375,3.865,3.7325,22,944.00,12/04/09
3.9175,3.8525,3.975,3.85,37,149.00,12/03/09
3.98,3.9175,3.99,3.9,31,989.00,12/02/09
4.0075,3.9975,4.0625,3.9725,30,953.00,12/01/09
3.9675,4.0275,4.0525,3.9225,56,291.00,11/30/09
3.86,3.9725,3.985,3.79,109,163.00,11/27/09
3.7725,3.92,3.9375,3.77,96,782.00,11/25/09
3.86,3.76,3.8725,3.745,126,847.00,11/24/09
3.91,3.8725,4.03,3.85,125,804.00,11/23/09
3.9475,3.91,3.99,3.9025,88,594.00,11/20/09
3.98,3.95,4.005,3.9,87,972.00,11/19/09
4.0125,3.98,4.095,3.975,110,400.00,11/18/09
4.005,4.02,4.0425,3.9675,93,552.00,11/17/09
3.93,4.0225,4.025,3.9075,104,398.00,11/16/09
3.9,3.905,3.9475,3.855,89,033.00,11/13/09
3.92,3.905,3.9825,3.825,150,890.00,11/12/09
3.9325,3.94,4.03,3.915,213,703.00,11/11/09
3.84,3.945,3.97,3.7925,168,908.00,11/10/09
3.655,3.86,3.8825,3.6525,147,836.00,11/09/09
3.7625,3.67,3.7875,3.66,117,417.00,11/06/09
3.8375,3.765,3.875,3.76,106,895.00,11/05/09
3.8825,3.84,3.9875,3.83,119,359.00,11/04/09
3.8025,3.9,3.965,3.7525,150,109.00,11/03/09
3.62,3.8225,3.8375,3.5925,128,940.00,11/02/09
3.7925,3.66,3.835,3.63,117,790.00,10/30/09
3.69,3.795,3.8175,3.67,105,202.00,10/29/09
3.715,3.69,3.75,3.6375,111,734.00,10/28/09
3.7825,3.7075,3.8075,3.6925,122,205.00,10/27/09
3.9775,3.78,4.0275,3.765,142,275.00,10/26/09
4.0325,3.9775,4.135,3.97,147,327.00,10/23/09
3.9625,4.035,4.05,3.9325,110,239.00,10/22/09
3.8425,3.9825,4.0375,3.8125,168,198.00,10/21/09
3.86,3.845,3.895,3.7925,100,519.00,10/20/09
3.715,3.8625,3.8775,3.6925,95,703.00,10/19/09
3.725,3.72,3.7775,3.69,69,072.00,10/16/09
3.82,3.73,3.83,3.685,114,423.00,10/15/09
3.8125,3.83,3.8875,3.775,125,684.00,10/14/09
3.79,3.8175,3.8675,3.7425,136,791.00,10/13/09
3.6475,3.8125,3.835,3.6475,117,579.00,10/12/09
3.63,3.6225,3.73,3.5875,118,572.00,10/09/09
3.59,3.64,3.7,3.5875,141,107.00,10/08/09
3.575,3.5975,3.64,3.54,91,892.00,10/07/09
3.42,3.5825,3.7,3.42,197,711.00,10/06/09
