dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
2/10/12,0,572.5,572.5,572.5,1,233,1281159
2/13/12,575,575.75,575,575.75,6,239,1285617
2/14/12,0,575,575,575,4,240,1301392
2/15/12,0,568,568,568,0,240,1315896
2/16/12,0,572.25,572.25,572.25,0,240,1321273
2/17/12,0,572.5,572.5,572.5,0,240,1313647
2/20/12,0,572.5,572.5,572.5,0,0,0
2/21/12,0,568.75,568.75,568.75,5,238,1318232
2/22/12,0,569.5,569.5,569.5,10,235,1312512
2/24/12,0,568.5,568.5,568.5,15,233,1324925
2/27/12,570,570,568.25,568.25,5,233,1301115
2/28/12,570.5,575,570.5,573.5,26,238,1282366
2/29/12,570.25,577.5,570,577.5,85,273,1281619
3/1/12,576,577.25,576,577.25,90,298,1271727
3/2/12,577,577,571.25,571.25,5,299,1273313
3/5/12,580.25,582,580.25,581.25,31,301,1277916
3/6/12,0,573,573,573,20,311,1291496
3/7/12,570,571.5,568,571.5,2,313,1289544
3/8/12,572.5,572.5,569.25,569.25,12,314,1294669
3/9/12,566.5,576,566.5,576,6,315,1301885
3/12/12,574.75,577.75,574.75,577.75,14,311,1297928
3/13/12,0,572.5,572.5,572.5,6,315,1303986
3/14/12,0,575.5,575.5,575.5,1,315,1322339
3/15/12,579.75,582.25,579.75,582.25,0,315,1321196
3/16/12,580,582,580,581.75,12,324,1334918
3/19/12,580.75,580.75,580.25,580.25,25,341,1342584
3/20/12,574.5,574.5,571.5,573.25,8,345,1336092
3/21/12,0,570.25,570.25,570.25,5,346,1324552
3/22/12,0,568.25,568.25,568.25,10,351,1317050
3/23/12,0,568.75,568.75,568.75,0,351,1321275
3/26/12,568.75,568.75,565.75,565.75,2,352,1319571
3/27/12,564,564,563,563,8,360,1321965
3/28/12,557.75,557.75,551.75,551.75,11,368,1308869
3/29/12,551.25,553.5,542,542,16,374,1311737
3/30/12,550,560.5,550,560.5,63,395,1319472
4/2/12,0,566.75,566.75,566.75,32,395,1338009
4/3/12,565.5,569.25,565.5,569.25,20,395,1341955
4/4/12,0,568.25,568.25,568.25,25,375,1342111
4/5/12,0,572.5,572.5,572.5,0,375,1356117
4/9/12,573,573,569,569,0,375,1358778
4/10/12,0,566.75,566.75,566.75,2,377,1350141
4/11/12,567,567.5,567,567.5,4,377,1349593
4/12/12,0,568.5,568.5,568.5,15,377,1350947
4/13/12,563,563,559.5,559.5,1,376,1359603
4/16/12,0,551.5,551.5,551.5,13,372,1362550
4/17/12,0,552.5,552.5,552.5,0,372,1360885
4/18/12,555,555,552.5,552.5,5,375,1355022
4/19/12,0,563.25,563.25,563.25,20,383,1356057
4/20/12,562.25,562.25,557.25,557.25,22,394,1357177
4/23/12,0,565.5,565.5,565.5,4,396,1328846
4/24/12,0,561.5,561.5,561.5,0,396,1319480
4/25/12,0,559.75,559.75,559.75,2,397,1309730
4/26/12,0,556.75,556.75,556.75,12,404,1293513
4/27/12,0,559.75,559.75,559.75,0,404,1278175
4/30/12,0,564,564,564,28,421,1246231
5/1/12,549.25,555.25,549.25,555.25,0,0,0
5/2/12,0,560.5,560.5,560.5,6,427,1225210
5/3/12,554.75,562.25,554.5,562.25,6,425,1219448
5/4/12,553,557.25,553,557.25,6,428,1219486
5/7/12,549.25,555.25,549.25,555.25,11,434,1217492
5/8/12,554,559.75,554,559.75,28,460,1224710
5/9/12,550.25,550.25,545.5,548.75,45,465,1232903
5/10/12,550,550,542,545.5,15,467,1238668
5/11/12,540,545.75,539.75,545.75,21,473,1246912
5/14/12,542.75,544.5,542.75,544.5,46,514,1249687
5/15/12,550,550,548,548,1,514,1238835
5/16/12,550,557,550,557,2,515,1232055
5/17/12,558,560,555,560,1,516,1230232
5/18/12,560,564,557,557,11,524,1222115
5/21/12,559,559.25,559,559.25,52,574,1207308
5/22/12,554,554,544,544,17,572,1204886
5/23/12,546,546,545.5,545.5,22,570,1195041
5/24/12,540,546,540,546,2,569,1189181
5/25/12,0,550.25,550.25,550.25,8,574,1186415
5/28/12,0,550.25,550.25,550.25,0,0,0
5/29/12,0,545.25,545.25,545.25,0,574,1170333
5/30/12,550,550,548.5,550,0,574,1173286
5/31/12,0,547,547,547,20,580,1175025
6/1/12,545.75,550,536.25,536.25,0,580,1184700
6/4/12,548,548.5,548,548.5,17,580,1173255
6/5/12,540,540,536,536,1,581,1177670
6/6/12,548,549.25,548,549.25,7,585,1178388
6/7/12,553,563,553,563,6,587,1182998
